,article_id,article_name,article_type,create_date,read_num,comment_num,article_url,record_time
2019-02-15,article_id,python画图总结,原,2019-02-15 16:28:56,阅读数 1 ,1,https://blog.csdn.net/liuchengzimozigreat/article/details/87369243,2019-02-15 22:00:07
2019-02-16,article_id,python画图总结,原,2019-02-15 16:28:56,阅读数 6 ,6,https://blog.csdn.net/liuchengzimozigreat/article/details/87369243,2019-02-16 19:06:02
2019-03-01,article_id,python画图总结,原,2019-02-15 16:28:56,阅读数 20 ,20,https://blog.csdn.net/liuchengzimozigreat/article/details/87369243,2019-03-01 10:43:33
2019-03-20,article_id,python画图总结,原,2019-02-15 16:28:56,阅读数 28 ,28,https://blog.csdn.net/liuchengzimozigreat/article/details/87369243,2019-03-20 19:35:22
2019-03-21,article_id,python画图总结,原,2019-02-15 16:28:56,29,29,https://blog.csdn.net/liuchengzimozigreat/article/details/87369243,2019-03-21 16:50:36
