,article_name,article_id,article_type,create_date,read_num,comment_num,article_url,record_time
2018-12-29 00:00:00,编程规范和好习惯,83900549,原,2018-11-09 17:09:40,阅读数：16,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/83900549,2018-12-29 17:25:30
2018-12-30 00:00:00,article_id,编程规范和好习惯,原,2018-11-09 17:09:40,阅读数：16,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/83900549,2018-12-30 14:06:33
2018-12-31 00:00:00,article_id,编程规范和好习惯,原,2018-11-09 17:09:40,阅读数：16,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/83900549,2018-12-31 18:45:51
2019-01-01,article_id,编程规范和好习惯,原,2018-11-09 17:09:40,阅读数：16,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/83900549,2019-01-01 09:53:07
