date,article_id,article_name,article_type,create_date,read_num,comment_num,article_url,record_time
2019-03-01,87931248,Mann-Kendall单调趋势检验,原,2019-02-26 11:06:51,20,20,https://blog.csdn.net/liuchengzimozigreat/article/details/87931248,2019-03-01 10:43:33
2019-03-20,87931248,Mann-Kendall单调趋势检验,原,2019-02-26 11:06:51,61,61,https://blog.csdn.net/liuchengzimozigreat/article/details/87931248,2019-03-20 19:35:22
2019-03-21,87931248,Mann-Kendall单调趋势检验,原,2019-02-26 11:06:51,68,68,https://blog.csdn.net/liuchengzimozigreat/article/details/87931248,2019-03-21 17:00:49
2019-03-25,87931248,Mann-Kendall单调趋势检验,原,2019-02-26 11:06:51,82,0,https://blog.csdn.net/liuchengzimozigreat/article/details/87931248,2019-03-25 22:19:49
