,article_name,article_id,article_type,create_date,read_num,comment_num,article_url,record_time
2018-12-29 00:00:00,Kd-Tree算法原理 最近邻查找,81937780,转,2018-08-22 09:12:38,阅读数：109,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/81937780,2018-12-29 17:25:30
2018-12-30 00:00:00,article_id,Kd-Tree算法原理 最近邻查找,转,2018-08-22 09:12:38,阅读数：109,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/81937780,2018-12-30 14:06:33
2018-12-31 00:00:00,article_id,Kd-Tree算法原理 最近邻查找,转,2018-08-22 09:12:38,阅读数：109,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/81937780,2018-12-31 18:45:51
2019-01-01 00:00:00,article_id,Kd-Tree算法原理 最近邻查找,转,2018-08-22 09:12:38,阅读数：111,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/81937780,2019-01-01 16:07:03
2019-01-02 00:00:00,article_id,Kd-Tree算法原理 最近邻查找,转,2018-08-22 09:12:38,阅读数：114,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/81937780,2019-01-02 16:47:04
2019-01-03 00:00:00,article_id,Kd-Tree算法原理 最近邻查找,转,2018-08-22 09:12:38,阅读数：116,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/81937780,2019-01-03 16:15:25
2019-01-04,article_id,Kd-Tree算法原理 最近邻查找,转,2018-08-22 09:12:38,阅读数：118,评论数：0,https://blog.csdn.net/liuchengzimozigreat/article/details/81937780,2019-01-04 16:15:54
